pathway;interact1_ensembl;interact2_ensembl
Glucagon;ENSG00000275199;ENSG00000152270
Glucagon;ENSG00000142208;ENSG00000152270
Glucagon;ENSG00000105221;ENSG00000152270
Glucagon;ENSG00000115263;ENSG00000288269
Glucagon;ENSG00000288269;ENSG00000087460
Glucagon;ENSG00000087460;ENSG00000078295
Glucagon;ENSG00000288516;ENSG00000107175
Glucagon;ENSG00000288516;ENSG00000118260
Glucagon;ENSG00000288516;ENSG00000115966
Glucagon;ENSG00000288516;ENSG00000143578
Glucagon;ENSG00000288516;ENSG00000128272
Glucagon;ENSG00000288516;ENSG00000182158
Glucagon;ENSG00000288516;ENSG00000060566
Glucagon;ENSG00000288516;ENSG00000157613
Glucagon;ENSG00000288516;ENSG00000146592
Glucagon;ENSG00000142875;ENSG00000107175
Glucagon;ENSG00000142875;ENSG00000118260
Glucagon;ENSG00000142875;ENSG00000115966
Glucagon;ENSG00000142875;ENSG00000143578
Glucagon;ENSG00000142875;ENSG00000128272
Glucagon;ENSG00000142875;ENSG00000182158
Glucagon;ENSG00000142875;ENSG00000060566
Glucagon;ENSG00000142875;ENSG00000157613
Glucagon;ENSG00000142875;ENSG00000146592
Glucagon;ENSG00000165059;ENSG00000107175
Glucagon;ENSG00000165059;ENSG00000118260
Glucagon;ENSG00000165059;ENSG00000115966
Glucagon;ENSG00000165059;ENSG00000143578
Glucagon;ENSG00000165059;ENSG00000128272
Glucagon;ENSG00000165059;ENSG00000182158
Glucagon;ENSG00000165059;ENSG00000060566
Glucagon;ENSG00000165059;ENSG00000157613
Glucagon;ENSG00000165059;ENSG00000146592
Glucagon;ENSG00000288516;ENSG00000150995
Glucagon;ENSG00000288516;ENSG00000123104
Glucagon;ENSG00000288516;ENSG00000096433
Glucagon;ENSG00000142875;ENSG00000150995
Glucagon;ENSG00000142875;ENSG00000123104
Glucagon;ENSG00000142875;ENSG00000096433
Glucagon;ENSG00000165059;ENSG00000150995
Glucagon;ENSG00000165059;ENSG00000123104
Glucagon;ENSG00000165059;ENSG00000096433
Glucagon;ENSG00000288516;ENSG00000158571
Glucagon;ENSG00000142875;ENSG00000158571
Glucagon;ENSG00000165059;ENSG00000158571
Glucagon;ENSG00000288516;ENSG00000170145
Glucagon;ENSG00000142875;ENSG00000170145
Glucagon;ENSG00000165059;ENSG00000170145
Glucagon;ENSG00000170145;ENSG00000160741
Glucagon;ENSG00000106617;ENSG00000278540
Glucagon;ENSG00000106617;ENSG00000076555
Glucagon;ENSG00000115592;ENSG00000278540
Glucagon;ENSG00000115592;ENSG00000076555
Glucagon;ENSG00000132356;ENSG00000278540
Glucagon;ENSG00000132356;ENSG00000076555
Glucagon;ENSG00000162409;ENSG00000278540
Glucagon;ENSG00000162409;ENSG00000076555
Glucagon;ENSG00000111725;ENSG00000278540
Glucagon;ENSG00000111725;ENSG00000076555
Glucagon;ENSG00000131791;ENSG00000278540
Glucagon;ENSG00000131791;ENSG00000076555
Glucagon;ENSG00000181929;ENSG00000278540
Glucagon;ENSG00000181929;ENSG00000076555
Glucagon;ENSG00000224960;ENSG00000160741
Glucagon;ENSG00000149923;ENSG00000160741
Glucagon;ENSG00000100796;ENSG00000160741
Glucagon;ENSG00000275052;ENSG00000160741
Glucagon;ENSG00000288516;ENSG00000224960
Glucagon;ENSG00000288516;ENSG00000149923
Glucagon;ENSG00000288516;ENSG00000100796
Glucagon;ENSG00000288516;ENSG00000275052
Glucagon;ENSG00000142875;ENSG00000224960
Glucagon;ENSG00000142875;ENSG00000149923
Glucagon;ENSG00000142875;ENSG00000100796
Glucagon;ENSG00000142875;ENSG00000275052
Glucagon;ENSG00000165059;ENSG00000224960
Glucagon;ENSG00000165059;ENSG00000149923
Glucagon;ENSG00000165059;ENSG00000100796
Glucagon;ENSG00000165059;ENSG00000275052
Glucagon;ENSG00000288516;ENSG00000106617
Glucagon;ENSG00000288516;ENSG00000115592
Glucagon;ENSG00000288516;ENSG00000132356
Glucagon;ENSG00000288516;ENSG00000162409
Glucagon;ENSG00000288516;ENSG00000111725
Glucagon;ENSG00000288516;ENSG00000131791
Glucagon;ENSG00000288516;ENSG00000181929
Glucagon;ENSG00000142875;ENSG00000106617
Glucagon;ENSG00000142875;ENSG00000115592
Glucagon;ENSG00000142875;ENSG00000132356
Glucagon;ENSG00000142875;ENSG00000162409
Glucagon;ENSG00000142875;ENSG00000111725
Glucagon;ENSG00000142875;ENSG00000131791
Glucagon;ENSG00000142875;ENSG00000181929
Glucagon;ENSG00000165059;ENSG00000106617
Glucagon;ENSG00000165059;ENSG00000115592
Glucagon;ENSG00000165059;ENSG00000132356
Glucagon;ENSG00000165059;ENSG00000162409
Glucagon;ENSG00000165059;ENSG00000111725
Glucagon;ENSG00000165059;ENSG00000131791
Glucagon;ENSG00000165059;ENSG00000181929
Glucagon;ENSG00000275993;ENSG00000160741
Glucagon;ENSG00000142178;ENSG00000160741
Glucagon;ENSG00000126457;ENSG00000150907
Glucagon;ENSG00000070808;ENSG00000150907
Glucagon;ENSG00000058404;ENSG00000150907
Glucagon;ENSG00000145349;ENSG00000150907
Glucagon;ENSG00000148660;ENSG00000150907
Glucagon;ENSG00000288516;ENSG00000104812
Glucagon;ENSG00000288516;ENSG00000111713
Glucagon;ENSG00000142875;ENSG00000104812
Glucagon;ENSG00000142875;ENSG00000111713
Glucagon;ENSG00000165059;ENSG00000104812
Glucagon;ENSG00000165059;ENSG00000111713
Glucagon;ENSG00000288516;ENSG00000067225
Glucagon;ENSG00000142875;ENSG00000067225
Glucagon;ENSG00000165059;ENSG00000067225
Glucagon;ENSG00000288269;ENSG00000156052
Glucagon;ENSG00000156052;ENSG00000182621
Glucagon;ENSG00000156052;ENSG00000137841
Glucagon;ENSG00000156052;ENSG00000149782
