pathway;Glucagon;Relaxin;AMPK;MAPK;GnRH;ErbB;Thyroid hormone;Ras;Insulin;Notch;B cell receptor;TNF;AGE-RAGE;cGMP-PKG;Ovarian steroidogenesis;Rap1;Hedgehog;RIG-I-like receptor;Calcium;C-type lectin receptor;Chemokine;Estrogen;PI3K-Akt;FoxO;Fc epsilon RI;Oxytocin;TGF-beta;HIF-1;mTOR;JAK-STAT;Sphingolipid;Adipocytokine;IL-17;Wnt;NF-kappa B;p53;Apelin;VEGF;Phospholipase D;T cell receptor;Toll-like receptor;Hippo;Prolactin;cAMP;Neurotrophin;NOD-like receptor
Glucagon;211;28;16;0;8;0;0;0;16;0;0;0;0;4;1;5;0;0;5;0;0;32;0;1;0;5;0;0;0;0;5;7;0;0;0;0;6;0;1;0;0;0;0;1;0;0
Relaxin;28;650;0;31;42;25;9;19;15;0;15;19;19;9;10;19;0;2;15;12;270;58;19;16;21;60;0;4;15;3;12;0;20;4;0;0;107;12;31;24;30;0;16;43;27;11
AMPK;16;0;279;2;0;3;4;2;45;0;0;0;0;4;2;2;0;0;0;0;0;0;15;29;3;8;0;5;20;0;2;16;0;0;0;0;9;0;2;3;0;0;0;0;9;0
MAPK;0;31;2;2027;43;49;9;1123;34;0;26;47;5;17;2;782;0;0;464;21;24;17;1246;37;45;39;2;20;37;3;11;1;9;11;5;0;12;37;59;35;32;6;16;13;70;9
GnRH;8;42;0;43;239;30;9;19;19;0;11;26;3;14;9;30;0;0;83;6;50;38;18;18;31;55;0;4;17;3;13;0;3;8;0;0;15;11;26;17;21;0;16;15;53;3
ErbB;0;25;3;49;30;173;15;33;45;0;33;32;21;6;0;35;0;0;9;24;46;44;37;29;25;11;0;29;25;24;9;0;3;0;1;0;14;37;19;56;31;0;23;26;64;3
Thyroid hormone;0;9;4;9;9;15;198;12;25;0;12;2;3;6;0;9;0;0;0;6;15;17;25;15;12;9;0;4;13;1;11;0;0;1;0;0;9;21;11;15;4;0;17;6;18;0
Ras;0;19;2;1123;19;33;12;1631;31;0;14;2;3;7;2;777;0;0;377;7;37;25;1063;30;49;25;0;13;24;3;27;0;0;0;1;0;13;46;89;16;4;0;20;15;64;0
Insulin;16;15;45;34;19;45;25;31;417;0;14;2;0;10;1;15;0;0;0;3;31;21;45;60;26;11;0;26;48;6;11;19;0;0;0;0;22;12;23;17;4;0;23;11;49;0
Notch;0;0;0;0;0;0;0;0;0;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
B cell receptor;0;15;0;26;11;33;12;14;14;0;167;24;20;21;0;27;0;6;1;38;47;29;14;11;24;28;0;22;11;19;9;3;4;15;2;0;9;33;8;67;29;0;15;33;43;8
TNF;0;19;0;47;26;32;2;2;2;0;24;156;24;2;0;32;0;5;0;26;26;20;2;2;20;2;0;20;2;18;3;9;10;0;8;1;2;20;2;37;59;0;2;20;37;13
AGE-RAGE;0;19;0;5;3;21;3;3;0;0;20;24;305;0;0;18;0;4;0;29;24;18;0;9;0;2;10;18;0;18;7;2;24;3;0;0;4;22;1;26;45;6;7;18;33;24
cGMP-PKG;4;9;4;17;14;6;6;7;10;0;21;2;0;398;1;11;0;0;50;20;5;13;11;10;6;86;1;5;8;0;30;0;0;21;0;0;59;14;9;21;4;0;6;18;6;0
Ovarian steroidogenesis;1;10;2;2;9;0;0;2;1;0;0;0;0;1;52;11;0;0;7;0;0;9;2;2;0;9;0;2;2;0;0;0;0;0;0;0;0;0;10;0;0;0;1;15;0;0
Rap1;5;19;2;782;30;35;9;777;15;0;27;32;18;11;11;1178;0;0;354;22;32;40;764;17;17;22;0;31;18;19;13;0;0;0;0;0;14;28;57;27;30;0;8;128;41;0
Hedgehog;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;6;0;0
RIG-I-like receptor;0;2;0;0;0;0;0;0;0;0;6;5;4;0;0;0;0;136;0;0;6;0;0;0;0;0;0;0;0;0;0;2;6;0;2;0;0;0;0;8;26;0;0;0;6;72
Calcium;5;15;0;464;83;9;0;377;0;0;1;0;0;50;7;354;0;0;1322;35;27;19;464;1;2;131;0;2;0;0;4;0;0;12;0;0;53;9;21;0;0;0;0;38;41;0
C-type lectin receptor;0;12;0;21;6;24;6;7;3;0;38;26;29;20;0;22;0;0;35;209;21;21;6;3;5;64;0;18;3;19;3;0;9;20;2;0;6;27;1;47;29;0;2;18;24;17
Chemokine;0;270;0;24;50;46;15;37;31;0;47;26;24;5;0;32;0;6;27;21;1715;42;29;27;23;38;1;20;21;21;8;7;0;5;1;0;101;32;13;44;23;0;32;66;61;8
Estrogen;32;58;0;17;38;44;17;25;21;0;29;20;18;13;9;40;0;0;19;21;42;212;20;17;17;38;0;28;17;21;16;0;0;0;0;0;23;36;33;29;22;0;26;56;39;0
PI3K-Akt;0;19;15;1246;18;37;25;1063;45;0;14;2;0;11;2;764;0;0;464;6;29;20;1549;56;20;9;0;23;46;27;62;2;0;0;2;0;16;19;53;17;11;0;23;6;67;0
FoxO;1;16;29;37;18;29;15;30;60;0;11;2;9;10;2;17;0;0;1;3;27;17;56;435;20;9;2;7;38;3;11;7;0;0;0;0;10;9;16;14;4;8;19;8;37;0
Fc epsilon RI;0;21;3;45;31;25;12;49;26;0;24;20;0;6;0;17;0;0;2;5;23;17;20;20;150;23;0;4;20;3;36;0;0;0;0;0;9;43;23;22;18;0;16;15;29;0
Oxytocin;5;60;8;39;55;11;9;25;11;0;28;2;2;86;9;22;0;0;131;64;38;38;9;9;23;429;1;4;9;1;27;7;6;21;0;0;80;32;15;28;8;0;10;51;45;2
TGF-beta;0;0;0;2;0;0;0;0;0;0;0;0;10;1;0;0;0;0;0;0;1;0;0;2;0;1;262;0;0;0;1;0;0;0;0;0;4;0;0;0;0;26;0;1;0;0
HIF-1;0;4;5;20;4;29;4;13;26;0;22;20;18;5;2;31;0;0;2;18;20;28;23;7;4;4;0;129;16;21;4;0;0;0;0;0;11;22;19;22;22;0;4;22;22;0
mTOR;0;15;20;37;17;25;13;24;48;0;11;2;0;8;2;18;0;0;0;3;21;17;46;38;20;9;0;16;277;3;12;0;0;43;1;0;13;9;17;14;4;0;16;8;41;0
JAK-STAT;0;3;0;3;3;24;1;3;6;0;19;18;18;0;0;19;0;0;0;19;21;21;27;3;3;1;0;21;3;105;1;4;0;0;0;0;4;19;2;19;18;0;16;18;21;0
