pathway;interact1_ensembl;interact2_ensembl
Glucagon;ENSG00000275199;ENSG00000152270
Glucagon;ENSG00000115263;ENSG00000288269
Glucagon;ENSG00000288269;ENSG00000087460
Glucagon;ENSG00000087460;ENSG00000078295
Glucagon;ENSG00000288516;ENSG00000107175
Glucagon;ENSG00000288516;ENSG00000150995
Glucagon;ENSG00000288516;ENSG00000158571
Glucagon;ENSG00000288516;ENSG00000170145
Glucagon;ENSG00000170145;ENSG00000160741
Glucagon;ENSG00000106617;ENSG00000278540
Glucagon;ENSG00000224960;ENSG00000160741
Glucagon;ENSG00000288516;ENSG00000224960
Glucagon;ENSG00000288516;ENSG00000106617
Glucagon;ENSG00000275993;ENSG00000160741
Glucagon;ENSG00000126457;ENSG00000150907
Glucagon;ENSG00000070808;ENSG00000150907
Glucagon;ENSG00000288516;ENSG00000104812
Glucagon;ENSG00000288516;ENSG00000067225
Glucagon;ENSG00000288269;ENSG00000156052
Glucagon;ENSG00000156052;ENSG00000182621
Glucagon;ENSG00000107175;ENSG00000107175
Glucagon;ENSG00000160741;ENSG00000160741
Glucagon;ENSG00000109819;ENSG00000109819
Glucagon;ENSG00000150907;ENSG00000150907
Glucagon;ENSG00000138814;ENSG00000160741
Relaxin;ENSG00000107018;ENSG00000171509
Relaxin;ENSG00000087460;ENSG00000173175
Relaxin;ENSG00000288516;ENSG00000107175
Relaxin;ENSG00000288516;ENSG00000100906
Relaxin;ENSG00000100906;ENSG00000109320
Relaxin;ENSG00000087258;ENSG00000173175
Relaxin;ENSG00000107175;ENSG00000165197
Relaxin;ENSG00000109320;ENSG00000165197
Relaxin;ENSG00000109320;ENSG00000007171
Relaxin;ENSG00000109320;ENSG00000087245
Relaxin;ENSG00000171509;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000171509
Relaxin;ENSG00000171509;ENSG00000087460
Relaxin;ENSG00000087460;ENSG00000171509
Relaxin;ENSG00000171509;ENSG00000127955
Relaxin;ENSG00000127955;ENSG00000171509
Relaxin;ENSG00000127955;ENSG00000069966
Relaxin;ENSG00000069966;ENSG00000127955
Relaxin;ENSG00000087258;ENSG00000069966
Relaxin;ENSG00000069966;ENSG00000087258
Relaxin;ENSG00000087460;ENSG00000069966
Relaxin;ENSG00000069966;ENSG00000087460
Relaxin;ENSG00000069966;ENSG00000121879
Relaxin;ENSG00000067606;ENSG00000173175
Relaxin;ENSG00000121879;ENSG00000132155
Relaxin;ENSG00000132155;ENSG00000169032
Relaxin;ENSG00000169032;ENSG00000100030
Relaxin;ENSG00000100030;ENSG00000165197
Relaxin;ENSG00000100030;ENSG00000087245
Relaxin;ENSG00000100030;ENSG00000089250
Relaxin;ENSG00000078401;ENSG00000136160
Relaxin;ENSG00000136160;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000136160
Relaxin;ENSG00000136160;ENSG00000127955
Relaxin;ENSG00000127955;ENSG00000136160
Relaxin;ENSG00000275199;ENSG00000164867
Relaxin;ENSG00000087245;ENSG00000078401
Relaxin;ENSG00000100985;ENSG00000078401
Relaxin;ENSG00000175387;ENSG00000107796
Relaxin;ENSG00000175387;ENSG00000108821
Relaxin;ENSG00000107018;ENSG00000133105
Relaxin;ENSG00000248099;ENSG00000133105
Relaxin;ENSG00000133105;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000133105
Relaxin;ENSG00000133105;ENSG00000087460
Relaxin;ENSG00000087460;ENSG00000133105
Relaxin;ENSG00000087258;ENSG00000164742
Relaxin;ENSG00000087460;ENSG00000164742
Relaxin;ENSG00000288474;ENSG00000277069
Relaxin;ENSG00000277069;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000277069
Relaxin;ENSG00000277069;ENSG00000127955
Relaxin;ENSG00000127955;ENSG00000277069
Relaxin;ENSG00000127955;ENSG00000164742
Relaxin;ENSG00000069966;ENSG00000182621
Relaxin;ENSG00000182621;ENSG00000154229
Relaxin;ENSG00000154229;ENSG00000100906
Relaxin;ENSG00000154229;ENSG00000076984
Relaxin;ENSG00000154229;ENSG00000276536
Relaxin;ENSG00000276536;ENSG00000132155
Relaxin;ENSG00000076984;ENSG00000112062
Relaxin;ENSG00000076984;ENSG00000107643
Relaxin;ENSG00000107643;ENSG00000170345
Relaxin;ENSG00000112062;ENSG00000170345
Relaxin;ENSG00000100030;ENSG00000170345
Relaxin;ENSG00000121879;ENSG00000197122
Relaxin;ENSG00000197122;ENSG00000129946
Relaxin;ENSG00000129946;ENSG00000115904
Relaxin;ENSG00000115904;ENSG00000276536
Relaxin;ENSG00000146648;ENSG00000177885
Relaxin;ENSG00000177885;ENSG00000129946
Relaxin;ENSG00000277069;ENSG00000146648
Relaxin;ENSG00000172410;ENSG00000173080
Relaxin;ENSG00000173080;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000173080
Relaxin;ENSG00000173080;ENSG00000127955
Relaxin;ENSG00000127955;ENSG00000173080
